,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
127,Miles McBride,Knicks,fgm,4.5,120,under,0.5057528012128365,0.5632808133412013,0.45454545454545453
128,Myles Turner,Pacers,steals,0.5,-115,over,0.3559635789168586,-1.6725143709945827,0.5348837209302326
129,Myles Turner,Pacers,steals,0.5,-115,under,0.6440364210831414,1.0203404579511046,0.5348837209302326
130,Andrew Nembhard,Pacers,steals,0.5,-135,over,0.428790936151185,-1.2679307409063525,0.574468085106383
131,Andrew Nembhard,Pacers,steals,0.5,105,under,0.571209063848815,0.8548929044503533,0.48780487804878053
132,Aaron Nesmith,Pacers,steals,0.5,-120,over,0.38121660819385905,-1.505514424889625,0.5454545454545454
133,Aaron Nesmith,Pacers,steals,0.5,-110,under,0.618783391806141,0.9065687399677103,0.5238095238095238
134,Tyrese Haliburton,Pacers,steals,1.5,100,over,0.4488460448804188,-0.5115395511958116,0.5
135,Tyrese Haliburton,Pacers,steals,1.5,-130,under,0.5511539551195812,-0.12440732009601252,0.5652173913043479
136,Obi Toppin,Pacers,steals,0.5,115,over,0.4511883639059735,-0.14972508801078455,0.46511627906976744
137,Obi Toppin,Pacers,steals,0.5,-155,under,0.5488116360940265,-0.4855817030975249,0.607843137254902
138,T.J. McConnell,Pacers,steals,0.5,-160,over,0.5132477440400285,-0.8298620796747684,0.6153846153846154
139,T.J. McConnell,Pacers,steals,0.5,120,under,0.4867522559599715,0.35427481555968665,0.45454545454545453
140,Pascal Siakam,Pacers,steals,0.5,-170,over,0.47270757595695134,-1.2461457203418567,0.6296296296296295
141,Pascal Siakam,Pacers,steals,0.5,125,under,0.5272924240430487,0.9320397704842973,0.4444444444444444
142,Ben Sheppard,Pacers,steals,0.5,160,over,0.428790936151185,0.5742821699654055,0.3846153846153846
143,Ben Sheppard,Pacers,steals,0.5,-220,under,0.571209063848815,-0.845752262917709,0.6875
144,Donte DiVincenzo,Knicks,steals,1.5,105,over,0.40816728654014434,-0.8162853129635206,0.48780487804878053
145,Donte DiVincenzo,Knicks,steals,1.5,-135,under,0.5918327134598557,0.15113658011355913,0.574468085106383
146,Isaiah Hartenstein,Knicks,steals,0.5,-155,over,0.6321205588285576,0.1997013710091018,0.607843137254902
147,Isaiah Hartenstein,Knicks,steals,0.5,120,under,0.36787944117144245,-0.953326147114133,0.45454545454545453
148,Miles McBride,Knicks,steals,0.5,-210,over,0.5852170883184187,-0.6805405386021475,0.6774193548387096
149,Miles McBride,Knicks,steals,0.5,155,under,0.4147829116815813,0.28848212394016226,0.3921568627450981
150,Josh Hart,Knicks,steals,0.5,-220,over,0.6465453180412198,-0.29785223242749126,0.6875
151,Josh Hart,Knicks,steals,0.5,165,under,0.35345468195878016,-0.3167254640461632,0.37735849056603776
152,Jalen Brunson,Knicks,steals,0.5,-200,over,0.5506710358827783,-0.8699672308791628,0.6666666666666666
153,Jalen Brunson,Knicks,steals,0.5,150,under,0.4493289641172217,0.6166120514652711,0.4
154,Tyrese Haliburton,Pacers,blocks,0.5,-110,over,0.5132477440400285,-0.10081698870881795,0.5238095238095238
155,Tyrese Haliburton,Pacers,blocks,0.5,-120,under,0.4867522559599715,-0.5381043203669273,0.5454545454545454
156,Aaron Nesmith,Pacers,blocks,0.5,110,over,0.47270757595695134,-0.03657045245201118,0.47619047619047616
157,Aaron Nesmith,Pacers,blocks,0.5,-145,under,0.5272924240430487,-0.545288141705278,0.5918367346938775
158,Pascal Siakam,Pacers,blocks,0.5,130,over,0.3296799539643607,-1.2086805294098522,0.4347826086956522
159,Pascal Siakam,Pacers,blocks,0.5,-170,under,0.6703200460356393,0.32312977734184223,0.6296296296296295
160,Myles Turner,Pacers,blocks,1.5,-180,over,0.5605404954201741,-0.6402405911764237,0.6428571428571428
161,Myles Turner,Pacers,blocks,1.5,135,under,0.43945950457982585,0.16364917881295415,0.425531914893617
162,Obi Toppin,Pacers,blocks,0.5,175,over,0.38121660819385905,0.24172836266556175,0.36363636363636365
163,Obi Toppin,Pacers,blocks,0.5,-240,under,0.618783391806141,-0.6169509747065014,0.7058823529411764
164,Andrew Nembhard,Pacers,blocks,0.5,275,over,0.14785621103378865,-2.2276960431164627,0.26666666666666666
165,Andrew Nembhard,Pacers,blocks,0.5,-400,under,0.8521437889662113,0.32589868103882047,0.8
166,T.J. McConnell,Pacers,blocks,0.5,500,over,0.11307956328284252,-1.6076131015147244,0.16666666666666666
167,T.J. McConnell,Pacers,blocks,0.5,-850,under,0.8869204367171575,-0.04367991246294345,0.8947368421052632
