,PROPS,THRESH
1696,Obi Toppin-fgm-over,3.5
612,Payton Pritchard-fg3m-over,1.5
609,Luke Kornet-points-over,3.5
610,Pascal Siakam-assists-over,2.5
611,Payton Pritchard-steals-under,0.5
401,Payton Pritchard-fgm-over,3.5
319,Andrew Nembhard-points-over,10.5
318,Obi Toppin-fgm-over,3.5
317,Jayson Tatum-points-under,29.5
403,Luke Kornet-fgm-over,1.5
402,Obi Toppin-fgm-over,3.5
118,T.J. McConnell-assists-over,4.5
119,Payton Pritchard-fg3m-over,1.5
117,Jrue Holiday-steals-under,1.5
116,Luke Kornet-points-over,3.5
1722,T.J. McConnell-fgm-over,4.5
1724,Myles Turner-points-over,15.5
1723,Al Horford-assists-under,2.5
1919,Pascal Siakam-assists-over,2.5
1917,Jayson Tatum-rebounds-under,10.5
1920,Jaylen Brown-rebounds-under,6.5
1918,Jrue Holiday-steals-under,1.5
1361,T.J. McConnell-assists-over,4.5
1360,Jayson Tatum-points-under,29.5
1362,Obi Toppin-fgm-over,3.5
1069,Obi Toppin-fgm-over,3.5
1070,Myles Turner-points-over,15.5
1071,Jaylen Brown-rebounds-under,6.5
1216,Myles Turner-steals-under,0.5
1217,Obi Toppin-fgm-over,3.5
1218,Jaylen Brown-rebounds-under,6.5
705,Al Horford-assists-under,2.5
704,T.J. McConnell-fgm-over,4.5
706,Jaylen Brown-rebounds-under,6.5
1242,Obi Toppin-fgm-over,3.5
1145,Jrue Holiday-rebounds-under,5.5
1144,Jrue Holiday-points-under,12.5
1019,Obi Toppin-fgm-over,3.5
1018,Jrue Holiday-rebounds-under,5.5
1017,Jrue Holiday-points-under,12.5
1240,T.J. McConnell-points-over,9.5
1241,Payton Pritchard-fgm-over,3.5
1146,Obi Toppin-fgm-over,3.5
1301,T.J. McConnell-assists-over,4.5
1302,Myles Turner-steals-under,0.5
1303,Obi Toppin-fgm-over,3.5
445,Jayson Tatum-fgm-under,9.5
444,T.J. McConnell-fgm-over,4.5
443,Payton Pritchard-fgm-over,3.5
335,Obi Toppin-fgm-over,3.5
334,Al Horford-rebounds-under,7.5
333,Jayson Tatum-points-under,29.5
1821,T.J. McConnell-fgm-over,4.5
1822,Myles Turner-steals-under,0.5
1823,Jayson Tatum-fgm-under,9.5
1736,Al Horford-assists-under,2.5
1735,Aaron Nesmith-points-over,9.5
1734,Luke Kornet-assists-over,0.5
1426,Pascal Siakam-blocks-under,0.5
1427,Obi Toppin-fgm-over,3.5
1425,T.J. McConnell-fgm-over,4.5
929,Myles Turner-steals-under,0.5
931,Obi Toppin-fgm-over,3.5
930,Myles Turner-fg3m-over,1.5
424,Obi Toppin-fgm-over,3.5
425,Pascal Siakam-assists-over,2.5
423,Payton Pritchard-points-over,9.5
806,Payton Pritchard-points-over,9.5
805,Andrew Nembhard-blocks-under,0.5
807,Jrue Holiday-rebounds-under,5.5
808,Aaron Nesmith-points-over,9.5
1747,Obi Toppin-fgm-over,3.5
1746,Aaron Nesmith-points-over,9.5
1167,Obi Toppin-fgm-over,3.5
1166,Jrue Holiday-points-under,12.5
