,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
402,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,79,0.08342890239932453,0.039976689976689975,1.0869387247411217,24.014577259475224
2376,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
2377,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
2378,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
2381,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
2380,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
2379,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,441,0.10900154836744119,0.052370209773819294,1.08136550986154,18.094825174825175
614,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
617,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
612,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
613,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
615,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
616,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,115,0.08898137530458704,0.04296675191815857,1.070935580005567,22.273809523809522
1523,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
1522,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
1518,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
1519,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
1520,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
1521,Jaden McDaniels,Timberwolves,fg3m,1.5,-165,under,0.6626272662068446,0.3210977437822371,0.6226415094339623,277,0.07962443676644432,0.03854770419698279,1.0656077560301687,24.941882164756063
96,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
101,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
98,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
97,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
99,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
100,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,17,0.11998940211031695,0.0582429217404281,1.0601542389146466,16.169468325382297
2319,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
2316,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
2321,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
2320,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
