,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
123,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,40,0.34059118513156816,0.7938449313767111,5.266856600189933
124,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,40,0.34059118513156816,0.7938449313767111,5.266856600189933
125,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,40,0.34059118513156816,0.7938449313767111,5.266856600189933
28,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,8,0.4456793659433466,1.3436501105415886,5.258601339061109
25,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,8,0.4456793659433466,1.3436501105415886,5.258601339061109
26,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,8,0.4456793659433466,1.3436501105415886,5.258601339061109
27,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,8,0.4456793659433466,1.3436501105415886,5.258601339061109
108,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,35,0.43117666745980654,1.256798843496027,5.2340467697185895
106,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,35,0.43117666745980654,1.256798843496027,5.2340467697185895
107,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,35,0.43117666745980654,1.256798843496027,5.2340467697185895
33,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,10,0.3883577238589566,1.0137307691809556,5.185247120029729
184,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,58,0.3883577238589566,1.0137307691809556,5.185247120029729
34,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,10,0.3883577238589566,1.0137307691809556,5.185247120029729
182,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,58,0.3883577238589566,1.0137307691809556,5.185247120029729
183,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,58,0.3883577238589566,1.0137307691809556,5.185247120029729
32,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,10,0.3883577238589566,1.0137307691809556,5.185247120029729
150,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,48,0.35326480312494657,0.8195941049848439,5.150793650793651
151,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,48,0.35326480312494657,0.8195941049848439,5.150793650793651
149,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,48,0.35326480312494657,0.8195941049848439,5.150793650793651
152,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,48,0.35326480312494657,0.8195941049848439,5.150793650793651
178,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,56,0.37414597029235114,0.9206159808340693,5.133333333333334
177,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,56,0.37414597029235114,0.9206159808340693,5.133333333333334
176,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,56,0.37414597029235114,0.9206159808340693,5.133333333333334
49,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,15,0.4469063071146646,1.2855242957133903,5.11410167931907
51,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,15,0.4469063071146646,1.2855242957133903,5.11410167931907
50,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,15,0.4469063071146646,1.2855242957133903,5.11410167931907
128,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,41,0.547923416976423,1.762709642685719,5.042145593869732
67,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,21,0.547923416976423,1.762709642685719,5.042145593869732
69,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,21,0.547923416976423,1.762709642685719,5.042145593869732
127,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,41,0.547923416976423,1.762709642685719,5.042145593869732
126,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,41,0.547923416976423,1.762709642685719,5.042145593869732
68,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,21,0.547923416976423,1.762709642685719,5.042145593869732
8,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,2,0.5678776616975708,1.822182168035662,4.969700973268155
6,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,2,0.5678776616975708,1.822182168035662,4.969700973268155
7,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,2,0.5678776616975708,1.822182168035662,4.969700973268155
185,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,59,0.4279558578827823,1.0832104116477965,4.867816091954023
186,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,59,0.4279558578827823,1.0832104116477965,4.867816091954023
187,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,59,0.4279558578827823,1.0832104116477965,4.867816091954023
212,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,67,0.41166738794474067,1.0039211355700886,4.867816091954023
211,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,67,0.41166738794474067,1.0039211355700886,4.867816091954023
210,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,67,0.41166738794474067,1.0039211355700886,4.867816091954023
54,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,16,0.39589435520141286,0.872989845987374,4.731034482758621
53,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,16,0.39589435520141286,0.872989845987374,4.731034482758621
52,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,16,0.39589435520141286,0.872989845987374,4.731034482758621
87,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,28,0.4526954105858241,1.1214510392042136,4.686265841438256
86,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,28,0.4526954105858241,1.1214510392042136,4.686265841438256
85,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,28,0.4526954105858241,1.1214510392042136,4.686265841438256
102,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,33,0.36507746201411184,0.6633658148514137,4.556199677938808
101,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,33,0.36507746201411184,0.6633658148514137,4.556199677938808
100,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,33,0.36507746201411184,0.6633658148514137,4.556199677938808
35,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,11,0.5310013882651768,1.416971836241495,4.551724137931035
36,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,11,0.5310013882651768,1.416971836241495,4.551724137931035
37,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,11,0.5310013882651768,1.416971836241495,4.551724137931035
73,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,24,0.5119773198488943,1.296897060392245,4.486325802615934
74,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,24,0.5119773198488943,1.296897060392245,4.486325802615934
75,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,24,0.5119773198488943,1.296897060392245,4.486325802615934
63,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,19,0.44498320876197983,0.9799909440007704,4.449585748436323
62,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,19,0.44498320876197983,0.9799909440007704,4.449585748436323
61,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,19,0.44498320876197983,0.9799909440007704,4.449585748436323
88,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,29,0.46886265374877983,1.083858907177448,4.4444975314540525
90,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,29,0.46886265374877983,1.083858907177448,4.4444975314540525
89,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,29,0.46886265374877983,1.083858907177448,4.4444975314540525
