,parlay_tag,props,COMBINED_PROB,COMBINED_EV,TO WIN
198,2024-05-21_198_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_fgm_3.5_-120_over_P0.746_EV1.839_HOUSE_PROV0.545 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500,0.4419212273409398,1.8206577103119246,6.382716049382716
77,2024-05-21_77_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Aaron Nesmith_points_9.5_-120_over_P0.655_EV1.005_HOUSE_PROV0.545,0.472514357069042,1.8192342114873519,5.966451959205583
94,2024-05-21_94_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535,0.505272398607664,1.8189248242542138,5.579020013802622
1123,2024-05-21_1123_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3944853105058162,1.810594479506094,7.124712643678161
2822,2024-05-21_2822_,Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Payton Pritchard_fgm_3.5_-120_over_P0.746_EV1.839_HOUSE_PROV0.545 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3635362503499162,1.8103371797883803,7.730555555555556
70,2024-05-21_70_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + T.J. McConnell_assists_4.5_-135_over_P0.687_EV0.982_HOUSE_PROV0.574,0.4957018579594025,1.808208527583334,5.665116001669946
1420,2024-05-21_1420_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_rebounds_10.5_-145_under_P0.783_EV1.614_HOUSE_PROV0.592 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545,0.4847399578654458,1.8073008504366412,5.791354322838581
84,2024-05-21_84_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jrue Holiday_fgm_4.5_100_under_P0.598_EV0.976_HOUSE_PROV0.500,0.43102683761319627,1.805491912451754,6.508856682769726
104,2024-05-21_104_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.45843177954244346,1.8044382196136142,6.117460317460317
220,2024-05-21_220_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500,0.43829083767376886,1.7974859639177594,6.382716049382716
