,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO WIN
103,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,30,0.36980990954377624,5.877039868190506,29.4125159642401
104,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,30,0.36980990954377624,5.877039868190506,29.4125159642401
105,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,31,0.4030562447687174,9.065839160057637,34.89795616025979
106,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,31,0.4030562447687174,9.065839160057637,34.89795616025979
107,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,31,0.4030562447687174,9.065839160057637,34.89795616025979
108,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,31,0.4030562447687174,9.065839160057637,34.89795616025979
109,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,32,0.5383120924332049,9.72525670835804,27.354497354497358
110,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,32,0.5383120924332049,9.72525670835804,27.354497354497358
111,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,32,0.5383120924332049,9.72525670835804,27.354497354497358
112,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,33,0.35483098634171334,2.894254499648457,22.247928742181617
113,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,33,0.35483098634171334,2.894254499648457,22.247928742181617
