,parlay_tag,props,COMBINED_PROB,COMBINED_EV
72,2024-05-19_72_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_fgm_9.5_-110_under_P0.561_EV0.356_HOUSE_PROV0.524,0.3051747304713569,4.448679154978551
73,2024-05-19_73_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Karl-Anthony Towns_steals_0.5_-110_under_P0.549_EV0.239_HOUSE_PROV0.524,0.2985038052746348,4.242137047926194
74,2024-05-19_74_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Aaron Gordon_assists_4.5_105_over_P0.531_EV0.443_HOUSE_PROV0.488,0.2888147192051307,4.602163725368014
75,2024-05-19_75_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Aaron Gordon_steals_0.5_160_under_P0.527_EV1.855_HOUSE_PROV0.385,0.28679930365465073,7.093370637437774
76,2024-05-19_76_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_assists_8.5_-105_under_P0.515_EV0.026_HOUSE_PROV0.512,0.2800424432432632,3.867155872290505
77,2024-05-19_77_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Mike Conley_fg3m_2.5_135_over_P0.501_EV0.892_HOUSE_PROV0.426,0.27275076005276444,5.395125922395584
78,2024-05-19_78_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Anthony Edwards_assists_5.5_120_over_P0.495_EV0.444_HOUSE_PROV0.455,0.26918765985698034,4.604477658743287
79,2024-05-19_79_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Jamal Murray_rebounds_4.5_105_over_P0.494_EV0.066_HOUSE_PROV0.488,0.26882569515894966,3.937592743217259
80,2024-05-19_80_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Karl-Anthony Towns_blocks_0.5_160_over_P0.493_EV1.414_HOUSE_PROV0.385,0.26835565347139095,6.315663388043653
81,2024-05-19_81_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_steals_1.5_115_under_P0.487_EV0.236_HOUSE_PROV0.465,0.2649164679594339,4.237263637598339
82,2024-05-19_82_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Kentavious Caldwell-Pope_blocks_0.5_115_over_P0.473_EV0.082_HOUSE_PROV0.465,0.2571100919243689,3.9650663142474656
