,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
431,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,77,0.08619107645209649,0.04215395102001074,1.0446737344070334,22.72256872256872
2156,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
2158,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
2159,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
2154,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
2155,Derrick Jones Jr.,Mavericks,fg3m,1.5,-250,under,0.7357588823428847,0.15031217640019245,0.7142857142857143,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
2157,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,410,0.10944549822594012,0.05355470457909998,1.043620613466176,17.672495868649712
1683,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1682,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1681,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1685,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1684,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1680,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,316,0.09950259044554154,0.04874514195375798,1.041282196694279,19.51486486486487
1110,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
1112,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
1113,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
1114,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
1115,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
1111,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,208,0.08250465422315809,0.04046409843511293,1.0389594088068024,23.71326530612246
